Doctor names,,Specialization,,,Description
Dr. Krishna Sai,,Allergist,,,Dr. Krishna Sai has completed his bachelors from abc college and post graduation in immunolgy from xyz college. He joined the Trust Cure Hopsitals in 2016. He has an experience of 13 yearsof treating people with different types of allergies.
Dr. Venkat,,Cardiologist,,,Dr. Venkat has completed his bachelors from abc college and post graduation in Cadeology from same college. He joined the Trust Cure Hospitals in 2014. He has 9 years experience of curing patients with different heart issues.
Dr. Anitha Bharadwaj,,Colorectal Surgeon,,,Dr. Anitha Bharadwaj has completed her bachelors from xyz college and post graduation in Colorotal Surgery from abc college. She joined the Trust Cure Hospitals in 2015.She has an experience of 13 years in perfroming surgeries in colorectal areas and regions and gained patients' trust and respect.
Dr. Nandini Singh,,Dermatologist,,,Dr. Nandini Singh has completed her bachelors in medical scineces from xyz college and post graduation in dermatology from same college. She joined the hospital in 2014. She has 10 years experience of treating patients with various skin conditions and skin issues.
Dr. Bhavin Shahnani,,ENT Specialist,,,"Dr. Bhavin Shahnani has completed his bachelors in medical scineces from lbw college and post graduation in ENT specialization from same college. He joined the Trust Cure Hosptials in 2017. He has an experience of 12 years healing patients with ears, nose and throat infections and issues."
Dr. Priyanka Sharma,,Endocrinologist,,,Dr. Priyanka Sharma has completed her MBBS from omg college and post graduation in Endocrinology from lbw college. She joined the Trsut Cure hospital in 2014.She has an experience of 13 years in caring and curing patients with various endrocrine problems and conditions.
Dr. Karthik Mishra,,Gastroenterologist,,,"Dr. Karthik Mishra has completed his bachelors in medical sciences from lbw college and done gatroenterology course as his masters from same college. He joined the Trust Cure Hospital in 2012.He has an experience of 9 years in treating patients with different stomach, intestine and gastroenterology issues and conditions."
Dr. Pranay Srigiri,,General Physician,,,Dr. Pranay Srigiri has completed his bachelors from lbw college and post graduation from same college. He joined the hospital in 2012. He has an experience of 22 years of consulting patients and performing surgies successfully.
Dr. Mira Nair,,Gynecologist,,,Dr. Mira Nair has completed her Bachelors of Medical Sciences from abc college and the maters course in Gynecology from lbw college. She joined the Trust Cure Hospital in 2018. She has an experience of 12 years of consulting pregenent women and delivering healthy babies.
Dr. Jhanvi Jain,,Hepatologist,,,Dr. Jhanvi Jain has completed her bachelors from xyz college and post graduation in hepatoly from dsa college. She joined the hospital in 2018. She has an experience of 15 years in treating people with different types of Hepatities.
Dr. Kalanithi Maran,,Infectious Disease Specialist,,,Dr. Kalanithi Maran has completed his MBBS from lbw college and his masters in infectious disease specialization from same college. He joined the hospital in 2005. He has an experience of 26 yearsof trating and curing curing patients with many infectious diseases.
Dr. Neil Gogte,,Neurologist,,,Dr. Neil Gogte has completed his Medical Scineces Bachelors from lbw college and done in his Masters in Neurology from same college. He joined the hospital in 2005. He has an experience of 26 years of treating and understanding various brain issues and gained patients trust in doing so.
Dr. Kavita Rao,,Ophthalmologist,,,Dr. Kavita Rao has completed her bachelors in medical Scineces from xyz college and post graduation in ophthamology from same college. She joined the Trust Cure Hospital in 2018. She has an experience of 10 years in curing and healing patients with different and various eye problems.
Dr. Prateek Mehta,,Orthopedician,,,Dr. Prateek Mehta has completed his bachelors from omg college and Orthopedician Course in Masters from lbw college. He joined theTrust Cure Hospitals in 2015. He has an experience of 13 yearsin helping people in getting their injuries to the bones and muscles healed and performing surgeries in severe conditions.
