,0,,,,1
0,(vertigo) Paroxysmal Positional Vertigo,,,,ENT Specialist
1,AIDS,,,,Infectious Disease Specialist
2,Acne,,,,Dermatologist
3,Alcoholic Hepatitis,,,,Gastroenterologist
4,Allergy,,,,Allergist
5,Arthritis,,,,Rheumatologist
6,Bronchial Asthma,,,,Pulmonologist
7,Cervical Spondylosis,,,,Orthopedician
8,Chicken Pox,,,,Infectious Disease Specialist
9,Chronic Cholestasis,,,,Gastroenterologist
10,Common Cold,,,,General Physician
11,Dengue,,,,Infectious Disease Specialist
12,Diabetes ,,,,Endocrinologist
13,Dimorphic Hemorrhoids (Piles),,,,Colorectal Surgeon
14,Drug Reaction,,,,Dermatologist
15,Fungal Infection,,,,Dermatologist
16,GERD,,,,Gastroenterologist
17,Gastroenteritis,,,,Gastroenterologist
18,Heart Attack,,,,Cardiologist
19,Hepatitis B,,,,Hepatologist
20,Hepatitis C,,,,Hepatologist
21,Hepatitis D,,,,Hepatologist
22,Hepatitis E,,,,Hepatologist
23,Hypertension ,,,,Cardiologist
24,Hyperthyroidism,,,,Endocrinologist
25,Hypoglycemia,,,,Endocrinologist
26,Hypothyroidism,,,,Endocrinologist
27,Impetigo,,,,Dermatologist
28,Jaundice,,,,Gastroenterologist
29,Malaria,,,,Infectious Disease Specialist
30,Migraine,,,,Neurologist
31,Osteoarthritis,,,,Rheumatologist
32,Paralysis (Brain Hemorrhage),,,,Neurologist
33,Peptic Ulcer Disease,,,,Gastroenterologist
34,Pneumonia,,,,Pulmonologist
35,Psoriasis,,,,Dermatologist
36,Tuberculosis,,,,Pulmonologist
37,Typhoid,,,,Infectious Disease Specialist
38,Urinary Tract Infection,,,,Urologist
39,Varicose Veins,,,,Vascular Surgeon
40,Hepatitis A,,,,Hepatologist
